OBJECTID,CSDI_ADMIN_AREA_ID,AREA_TYPE,AREA_ID,AREA_CODE,NAME_TC,NAME_EN,DATA_OWNER,BEGIN_LIFESPAN,END_LIFESPAN,SHAPE__Area,SHAPE__Length
1,2016010104,DCD,D,STH,南區,Southern District,HAD,2016/01/01 00:00:00+00,,110231656.167969,59657.5553949556
2,2016010102,DCD,B,WC,灣仔區,Wan Chai District ,HAD,2016/01/01 00:00:00+00,,14482235.8554688,21374.6472674568
3,2016010101,DCD,A,CW,中西區,Central and Western District,HAD,2016/01/01 00:00:00+00,,23181767.9824219,23542.9652550104
4,2016010103,DCD,C,EST,東區,Eastern District,HAD,2016/01/01 00:00:00+00,,30617804.1347656,31917.4178561573
5,2016010120,DCD,T,ILD,離島區,Islands District,HAD,2016/01/01 00:00:00+00,,779526273.525391,139341.067760742
6,2016010105,DCD,E,YTM,油尖旺區,Yau Tsim Mong District,HAD,2016/01/01 00:00:00+00,,13450000.9238281,16137.782341012
7,2016010110,DCD,J,KT,觀塘區,Kwun Tong District,HAD,2016/01/01 00:00:00+00,,16392683.8769531,22745.9841956986
8,2016010106,DCD,F,SSP,深水埗區,Sham Shui Po District,HAD,2016/01/01 00:00:00+00,,12681642.2304688,21224.4491444732
9,2016010107,DCD,G,KLC,九龍城區,Kowloon City District,HAD,2016/01/01 00:00:00+00,,16957963.1464844,23959.2220935903
10,2016010108,DCD,H,WTS,黃大仙區,Wong Tai Sin District,HAD,2016/01/01 00:00:00+00,,10926314.0273438,17776.8683686124
11,2016010119,DCD,S,KC,葵青區,Kwai Tsing District,HAD,2016/01/01 00:00:00+00,,57919490.8710938,46797.1466640655
12,2016010111,DCD,K,TW,荃灣區,Tsuen Wan District,HAD,2016/01/01 00:00:00+00,,99010247.4707031,68195.9653957005
13,2016010112,DCD,L,TM,屯門區,Tuen Mun District,HAD,2016/01/01 00:00:00+00,,221552868.882813,75057.0467686439
14,2016010118,DCD,R,ST,沙田區,Sha Tin District,HAD,2016/01/01 00:00:00+00,,87289615.2519531,49804.8173983187
15,2016010117,DCD,Q,SK,西貢區,Sai Kung District,HAD,2016/01/01 00:00:00+00,,899673032.125,133904.928472762
16,2016010113,DCD,M,YL,元朗區,Yuen Long District,HAD,2016/01/01 00:00:00+00,,220459612.677734,92150.3747990189
17,2016010116,DCD,P,TP,大埔區,Tai Po District,HAD,2016/01/01 00:00:00+00,,401857481.566406,127936.20396334
18,2016010114,DCD,N,NTH,北區,North District,HAD,2016/01/01 00:00:00+00,,218501503.287109,95382.9941447613
